date,pm10,pm2_5,no2,dust,uv_index,aqi_index,temp,humidity,rain,wind
2026-02-28 22:00:00+00:00,132.9,123.7,52.4,1.0,0.0,89.08667,2.3,82.943344,0.0,6.090812
2026-02-28 23:00:00+00:00,104.7,91.3,35.9,1.0,0.0,89.590004,1.8,85.02129,0.0,6.6624317
2026-03-01 00:00:00+00:00,84.7,63.4,23.3,1.0,0.0,89.84333,0.7,87.1036,0.0,6.1094027
2026-03-01 01:00:00+00:00,64.2,56.7,19.7,1.0,0.0,89.65667,0.8,86.47807,0.0,6.618519
2026-03-01 02:00:00+00:00,55.3,52.4,16.3,1.0,0.0,89.25,1.35,83.43076,0.0,6.4924874
2026-03-01 03:00:00+00:00,42.9,41.2,13.6,1.0,0.0,88.97334,1.85,81.68418,0.0,6.989936
2026-03-01 04:00:00+00:00,34.5,30.1,11.8,1.0,0.0,88.64333,1.6,83.46181,0.0,7.841887
2026-03-01 05:00:00+00:00,29.5,27.0,11.7,1.0,0.0,88.2,1.95,82.898766,0.0,9.257321
2026-03-01 06:00:00+00:00,28.7,24.8,13.2,1.0,0.1,87.70333,2.85,77.47668,0.0,10.703569
2026-03-01 07:00:00+00:00,27.4,24.4,13.0,1.0,0.4,86.89667,4.5,73.91224,0.0,10.5234585
2026-03-01 08:00:00+00:00,27.7,24.4,11.5,1.0,0.8,85.97667,6.5,70.90542,0.0,9.56713
2026-03-01 09:00:00+00:00,27.2,22.5,9.3,1.0,1.3,85.22334,8.0,67.51124,0.0,9.779817
2026-03-01 10:00:00+00:00,26.9,20.6,9.6,1.0,1.6,84.88334,9.85,61.52363,0.0,10.8955765
2026-03-01 11:00:00+00:00,25.3,18.2,9.1,1.0,1.7,84.78667,11.35,57.679993,0.0,11.003581
2026-03-01 12:00:00+00:00,24.1,16.6,9.2,1.0,1.6,84.65667,13.25,53.294846,0.0,8.528657
2026-03-01 13:00:00+00:00,24.1,16.8,8.2,1.0,1.1,84.543335,13.55,52.631622,0.0,7.7420926
2026-03-01 14:00:00+00:00,24.9,17.6,10.1,1.0,0.55,84.403336,13.35,53.88529,0.0,7.0774574
2026-03-01 15:00:00+00:00,29.5,23.2,15.6,1.0,0.2,84.13334,12.25,64.285,0.0,3.8939953
2026-03-01 16:00:00+00:00,37.9,30.0,24.0,1.0,0.0,83.71667,9.7,69.31383,0.0,3.9477081
2026-03-01 17:00:00+00:00,77.7,52.5,37.4,1.0,0.0,83.19,7.85,74.775185,0.0,5.5916004
2026-03-01 18:00:00+00:00,107.3,73.1,43.2,1.0,0.0,82.5,8.3,74.3303,0.0,5.904439
2026-03-01 19:00:00+00:00,132.3,91.1,42.6,1.0,0.0,81.58,8.25,77.511665,0.0,4.379589
2026-03-01 20:00:00+00:00,120.2,109.0,44.1,1.0,0.0,80.5,7.45,77.93044,0.0,2.5772078
2026-03-01 21:00:00+00:00,139.8,123.4,47.5,1.0,0.0,79.58667,7.3,78.73306,0.0,2.0124612
2026-03-01 22:00:00+00:00,144.2,128.6,46.3,1.0,0.0,79.13333,7.0,77.04006,0.0,1.4058449
2026-03-01 23:00:00+00:00,125.9,109.7,40.0,0.0,0.0,79.29666,6.65,72.47078,0.0,6.9480934
2026-03-02 00:00:00+00:00,59.2,56.2,22.4,0.0,0.0,79.909996,5.2,85.39917,0.0,5.0432134
2026-03-02 01:00:00+00:00,44.2,36.9,17.5,0.0,0.0,79.67,5.1,87.528984,0.2,0.25455844
2026-03-02 02:00:00+00:00,31.0,29.2,20.2,0.0,0.0,79.01,4.7,89.36908,0.5,0.76367533
2026-03-02 03:00:00+00:00,44.6,41.7,24.3,0.0,0.0,78.236664,4.0,93.195114,0.3,4.8899083
2026-03-02 04:00:00+00:00,52.1,51.0,27.3,0.0,0.0,78.253334,3.4,94.49633,0.0,3.644722
2026-03-02 05:00:00+00:00,57.6,52.8,30.3,0.0,0.0,78.95,3.2,94.487625,0.0,1.5379207
2026-03-02 06:00:00+00:00,56.3,51.0,35.4,0.0,0.1,79.81,3.05,96.17603,0.0,1.1525624
2026-03-02 07:00:00+00:00,71.9,58.3,36.8,0.0,0.4,80.683334,3.85,92.85754,0.0,2.1749482
2026-03-02 08:00:00+00:00,55.4,47.8,35.0,0.0,0.85,81.81334,6.15,87.62745,0.0,0.9
2026-03-02 09:00:00+00:00,33.4,30.5,26.2,0.0,1.4,82.593346,7.6,79.05501,0.0,1.0495713
2026-03-02 10:00:00+00:00,23.3,20.5,18.1,0.0,1.65,82.860016,8.8,66.49509,0.0,3.710795
2026-03-02 11:00:00+00:00,20.2,14.5,15.0,0.0,1.7,82.856674,9.6,58.058052,0.0,4.8466477
2026-03-02 12:00:00+00:00,17.4,13.0,11.5,1.0,1.5,82.733345,9.75,55.65404,0.0,3.219938
2026-03-02 13:00:00+00:00,16.0,11.3,11.5,0.0,1.1,82.61334,9.9,55.494152,0.0,2.3469126
2026-03-02 14:00:00+00:00,15.6,11.6,15.4,1.0,0.6,82.43001,9.85,54.690224,0.0,3.494968
