date,pm10,pm2_5,no2,dust,uv_index,aqi_index,temp,humidity,rain,wind
2024-12-31 22:00:00+00:00,57.5,54.4,24.7,1.0,0.0,79.08666,-0.15,74.15216,0.0,11.620809
2024-12-31 23:00:00+00:00,44.2,43.0,14.9,1.0,0.0,78.60999,0.05,72.53702,0.0,11.543881
2025-01-01 00:00:00+00:00,38.8,34.7,10.6,0.0,0.0,78.08,0.1,72.00351,0.0,12.144331
2025-01-01 01:00:00+00:00,27.5,25.6,7.2,1.0,0.0,77.526665,1.15,68.52759,0.0,13.926464
2025-01-01 02:00:00+00:00,24.9,22.5,6.4,1.0,0.0,76.86667,0.95,67.972115,0.0,13.672893
2025-01-01 03:00:00+00:00,24.6,22.1,5.9,1.0,0.0,76.26,0.75,67.92859,0.0,13.238261
2025-01-01 04:00:00+00:00,24.8,23.2,6.6,1.0,0.0,75.833336,0.45,68.89436,0.0,13.229694
2025-01-01 05:00:00+00:00,26.6,25.4,11.8,1.0,0.0,75.66,0.1,69.60365,0.0,13.1041975
2025-01-01 06:00:00+00:00,29.3,28.2,18.9,1.0,0.0,75.57,0.5,66.3533,0.0,11.881363
2025-01-01 07:00:00+00:00,31.6,30.4,26.4,1.0,0.05,75.5,0.85,63.00683,0.0,12.906138
2025-01-01 08:00:00+00:00,31.0,29.9,24.9,0.0,0.2,75.44,1.85,58.202858,0.0,12.313893
2025-01-01 09:00:00+00:00,22.2,21.1,13.8,0.0,0.45,75.326675,3.8,52.054066,0.0,16.019999
2025-01-01 10:00:00+00:00,19.4,18.4,10.3,0.0,0.65,74.93667,6.4,43.605507,0.0,19.274294
2025-01-01 11:00:00+00:00,16.8,15.9,8.1,1.0,0.65,74.596664,7.45,40.884937,0.0,19.626604
2025-01-01 12:00:00+00:00,14.1,12.9,7.4,1.0,0.45,74.25667,7.9,39.202824,0.0,22.996365
2025-01-01 13:00:00+00:00,13.3,12.8,8.2,1.0,0.25,73.88667,8.2,35.464638,0.0,25.323128
2025-01-01 14:00:00+00:00,15.5,13.3,10.6,1.0,0.05,73.39001,6.6,40.321423,0.0,24.5817
2025-01-01 15:00:00+00:00,20.0,17.6,13.4,1.0,0.0,72.59667,5.4,43.63905,0.0,22.256763
2025-01-01 16:00:00+00:00,22.7,19.6,14.3,1.0,0.0,71.716675,5.15,42.739395,0.0,20.858265
2025-01-01 17:00:00+00:00,25.8,24.2,14.1,1.0,0.0,70.14667,4.45,43.52179,0.0,18.054815
2025-01-01 18:00:00+00:00,31.4,28.3,13.3,1.0,0.0,68.503334,4.1,43.083454,0.0,15.430736
2025-01-01 19:00:00+00:00,30.2,26.6,11.5,1.0,0.0,66.37666,4.45,40.91914,0.0,15.156386
2025-01-01 20:00:00+00:00,26.9,23.5,9.7,1.0,0.0,63.969997,4.85,38.577904,0.0,16.055353
2025-01-01 21:00:00+00:00,24.3,20.9,8.3,1.0,0.0,61.576668,5.7,34.437397,0.0,17.58481
2025-01-01 22:00:00+00:00,18.8,16.7,6.8,1.0,0.0,59.083336,6.35,31.415344,0.0,19.263363
2025-01-01 23:00:00+00:00,12.7,11.2,4.8,1.0,0.0,52.799995,6.6,30.638117,0.0,20.933466
2025-01-02 00:00:00+00:00,11.3,10.6,3.5,1.0,0.0,47.499992,7.15,30.803198,0.0,23.646545
2025-01-02 01:00:00+00:00,10.7,9.7,2.8,1.0,0.0,43.48333,7.3,31.455515,0.0,25.415718
2025-01-02 02:00:00+00:00,10.5,9.7,2.7,1.0,0.0,40.833336,7.3,32.073483,0.0,24.975931
2025-01-02 03:00:00+00:00,10.3,8.4,2.6,1.0,0.0,39.350002,7.15,32.78404,0.0,24.670507
2025-01-02 04:00:00+00:00,10.5,8.2,2.7,1.0,0.0,38.20834,7.35,32.71731,0.0,23.532547
2025-01-02 05:00:00+00:00,11.6,10.1,3.6,1.0,0.0,36.95834,7.35,34.271347,0.0,20.690605
2025-01-02 06:00:00+00:00,10.6,9.1,7.4,1.0,0.0,35.68334,6.4,38.750355,0.0,17.917007
2025-01-02 07:00:00+00:00,13.0,10.0,11.3,1.0,0.05,34.091675,6.05,40.464035,0.0,18.789965
2025-01-02 08:00:00+00:00,11.9,10.4,10.1,1.0,0.25,32.391674,8.25,34.279438,0.0,23.990698
2025-01-02 09:00:00+00:00,11.2,9.4,8.1,1.0,0.45,30.766674,10.2,29.833132,0.0,27.72526
2025-01-02 10:00:00+00:00,10.8,9.1,7.1,1.0,0.6,30.8,10.15,31.338793,0.0,28.517931
2025-01-02 11:00:00+00:00,10.3,9.3,6.8,1.0,0.6,30.4,9.65,34.178158,0.0,29.895718
2025-01-02 12:00:00+00:00,10.6,8.4,7.3,1.0,0.4,30.8,8.85,38.17329,0.0,27.834892
2025-01-02 13:00:00+00:00,11.7,8.8,9.0,1.0,0.15,30.0,8.7,35.615273,0.0,25.986166
2025-01-02 14:00:00+00:00,13.8,10.7,12.3,1.0,0.05,27.75833,6.7,44.52595,0.1,23.018896
2025-01-02 15:00:00+00:00,15.9,13.0,17.6,1.0,0.0,27.54166,4.05,64.0059,0.3,20.211363
2025-01-02 16:00:00+00:00,20.6,18.3,21.9,1.0,0.0,27.158333,1.15,92.368996,0.4,15.815435
2025-01-02 17:00:00+00:00,27.7,26.0,27.9,0.0,0.0,27.049995,0.85,94.72641,0.099999905,14.607751
2025-01-02 18:00:00+00:00,34.1,32.6,28.7,0.0,0.0,27.199997,0.55,96.797745,0.099999964,11.612441
2025-01-02 19:00:00+00:00,39.7,37.3,32.3,0.0,0.0,27.55833,0.35,98.20665,0.0,10.158444
2025-01-02 20:00:00+00:00,45.7,43.6,34.0,0.0,0.0,28.449997,0.15,98.20373,0.0,9.901636
2025-01-02 21:00:00+00:00,42.8,41.7,35.5,0.0,0.0,30.124998,-0.1,98.55773,0.0,9.5416975
2025-01-02 22:00:00+00:00,41.2,39.2,34.0,0.0,0.0,31.858334,-0.3,98.555374,0.0,9.028754
2025-01-02 23:00:00+00:00,32.7,29.9,27.2,0.0,0.0,33.733334,-0.4,98.19565,0.0,9.47012
2025-01-03 00:00:00+00:00,30.7,27.7,28.4,0.0,0.0,35.291668,-0.6,97.834724,0.0,10.105681
2025-01-03 01:00:00+00:00,32.1,29.0,25.8,0.0,0.0,36.71667,-0.5,96.77039,0.0,9.627896
2025-01-03 02:00:00+00:00,32.8,30.1,23.2,0.0,0.0,38.325,-0.5,95.36495,0.0,10.6261
2025-01-03 03:00:00+00:00,32.1,27.6,19.9,0.0,0.0,40.050003,-0.45,93.63618,0.0,12.313893
2025-01-03 04:00:00+00:00,30.9,26.2,20.1,0.0,0.0,43.250008,-0.45,91.93345,0.0,13.627795
2025-01-03 05:00:00+00:00,29.4,22.6,18.8,0.0,0.0,46.250008,-0.1,90.950035,0.0,14.796175
2025-01-03 06:00:00+00:00,27.4,18.3,20.8,0.0,0.0,48.333344,-0.3,90.935776,0.0,14.957339
2025-01-03 07:00:00+00:00,22.1,15.5,21.2,0.0,0.05,49.86667,-0.7,90.907166,0.0,16.740969
2025-01-03 08:00:00+00:00,19.6,13.9,20.8,0.0,0.15,50.783348,-1.0,90.88561,0.0,18.268892
2025-01-03 09:00:00+00:00,18.9,14.4,19.6,0.0,0.3,51.366676,-0.65,85.055374,0.0,19.067259
2025-01-03 10:00:00+00:00,17.3,10.8,15.1,0.0,0.35,52.200012,-0.2,83.85573,0.0,16.285772
2025-01-03 11:00:00+00:00,13.6,9.4,11.9,0.0,0.35,52.483345,0.35,82.38785,0.0,17.02404
2025-01-03 12:00:00+00:00,13.7,8.8,12.0,0.0,0.55,52.500008,0.7,80.629166,0.0,17.615187
2025-01-03 13:00:00+00:00,11.8,8.2,11.4,0.0,0.3,52.566673,0.75,83.35593,0.0,20.037485
2025-01-03 14:00:00+00:00,13.0,9.5,13.1,0.0,0.1,52.466675,0.25,82.07048,0.0,21.121449
2025-01-03 15:00:00+00:00,16.2,11.9,13.8,0.0,0.0,52.26667,-0.25,79.89489,0.0,21.511318
2025-01-03 16:00:00+00:00,18.7,15.1,14.8,0.0,0.0,52.083336,-0.35,79.5826,0.0,23.34455
2025-01-03 17:00:00+00:00,24.1,18.2,16.9,0.0,0.0,51.549995,-0.55,79.25559,0.0,22.714972
