Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-05-31,0.0985,0.099,0.0655,0.075,1843608000
1997-06-30,0.0755,0.0855,0.069,0.077,1063272000
1997-07-31,0.077,0.1285,0.0755,0.12,2172288000
1997-08-31,0.117,0.121,0.097,0.117,638136000
1997-09-30,0.117,0.2405,0.1155,0.217,2157240000
1997-10-31,0.222,0.275,0.176,0.254,2103744000
1997-11-30,0.261,0.261,0.1835,0.206,1355952000
1997-12-31,0.212,0.252,0.207,0.251,1299648000
1998-01-31,0.25,0.267,0.2075,0.246,2241600000
1998-02-28,0.2475,0.332,0.2385,0.321,2612424000
1998-03-31,0.316,0.3675,0.2915,0.3565,4136376000
1998-04-30,0.355,0.4165,0.3215,0.3825,7097376000
1998-05-31,0.3865,0.3995,0.3325,0.367,3497400000
1998-06-30,0.3665,0.873,0.344,0.831,11677572000
1998-07-31,0.8485,1.225,0.7855,0.924,13278936000
1998-08-31,0.9145,1.146,0.6925,0.698,8812152000
1998-09-30,0.6345,1,0.5415,0.93,13556712000
1998-10-31,0.9,1.082,0.6665,1.0535,10088892000
1998-11-30,1.0675,1.9425,1.006,1.6,13035792000
1998-12-31,1.546,3.0155,1.5165,2.677,14484360000
1999-01-31,2.7305,4.978,2.314,2.9235,12926976000
1999-02-28,2.944,3.25,2.106,3.203,6362920000
1999-03-31,3.175,4.45,2.85,4.3045,6620200000
1999-04-30,4.4845,5.531,3.775,4.3015,7265708000
1999-05-31,4.172,4.1765,2.6125,2.969,6075356000
1999-06-30,2.7875,3.2375,2.244,3.128,7294948000
1999-07-31,3.131,3.5625,2.4375,2.5015,7773008000
1999-08-31,2.4595,3.389,2.05,3.1095,9181716000
1999-09-30,3.175,4.25,2.869,3.997,6432336000
1999-10-31,3.85,4.5,3.294,3.531,5086230000
1999-11-30,3.403,4.844,3.05,4.253,5316630000
1999-12-31,4.3625,5.65,3.8,3.806,4726852000
2000-01-31,4.075,4.575,2.922,3.228,5244180000
2000-02-29,3.375,4.297,3.153,3.444,4149154000
2000-03-31,3.381,3.7625,3,3.35,3131692000
