Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-08-31,2.49097,2.82675,2.39033,2.55001,2684508459
2004-09-30,2.55823,3.36331,2.46457,3.2283,4269589780
2004-10-31,3.25819,4.98094,3.21086,4.74879,10319991874
2004-11-30,4.82127,5.02179,4.01818,4.53306,11144016257
2004-12-31,4.53233,4.97895,4.19653,4.80234,5834767209
2005-01-31,4.91717,5.11397,4.39134,4.87284,8236345733
2005-02-28,4.84195,5.40043,4.50865,4.68277,13071606731
2005-03-31,4.71516,4.72911,4.29866,4.49646,6902893288
2005-04-30,4.52759,5.5982,4.47977,5.48013,9100515118
2005-05-31,5.53095,6.93486,5.48511,6.90695,10187549491
2005-06-30,7.05443,7.70308,6.66186,7.32694,15616474809
2005-07-31,7.34936,7.9163,7.14908,7.16801,8227682440
2005-08-31,7.17698,7.46593,6.80932,7.12418,5739607491
2005-09-30,7.12219,7.99502,7.09926,7.88293,6830800892
2005-10-31,7.81268,9.33516,7.24075,9.2699,7746480331
2005-11-30,9.26291,10.742,9.19168,10.0864,8497340446
2005-12-31,10.1931,11.1147,9.93897,10.3341,7979397632
2006-01-31,10.5248,11.8351,9.83286,10.7774,12004966015
2006-02-28,9.69087,10.1257,8.4155,9.03276,11944142320
2006-03-31,9.18072,9.93897,8.25906,9.71478,12315042011
2006-04-30,9.70283,11.2273,9.66297,10.4108,7439451342
2006-05-31,10.4243,10.4481,8.98145,9.26193,7063103970
2006-06-30,9.30477,10.4451,9.25644,10.4451,5715869751
2006-07-31,10.4631,10.6583,9.4079,9.63009,5119367182
2006-08-31,9.59323,9.71478,9.0512,9.42881,4294391362
2006-09-30,9.49059,10.4291,9.38398,10.0112,4879681435
2006-10-31,10.0112,12.2546,9.91904,11.8669,6363545161
2006-11-30,11.9258,12.7787,11.5845,12.0763,4754786314
2006-12-31,12.1056,12.2655,11.2676,11.4705,3679859669
2007-01-31,11.6079,12.7787,11.4863,12.4922,5001549624
2007-02-28,12.6044,12.6044,11.036,11.1954,4573081994
2007-03-31,11.0271,11.6079,10.8855,11.4126,4741783344
2007-04-30,11.4027,12.268,11.2621,11.7419,3731819349
2007-05-31,11.7624,12.6736,11.3937,12.403,3997707738
2007-06-30,12.4797,13.3267,12.395,13.0203,5180648530
2007-07-31,13.0895,13.9141,12.427,12.7039,4682143928
