Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-03-31,0.0615709,0.069028,0.0615709,0.069028,2693150438.1765
1986-04-30,0.069028,0.0845253,0.0615709,0.0768932,793481340.12818
1986-05-31,0.0768932,0.0845253,0.0768932,0.0845253,483573381.21648
1986-06-30,0.0845253,0.0845253,0.069028,0.0768932,426060806.82567
1986-07-31,0.0768932,0.0768932,0.0615709,0.069028,668265154.41505
1986-08-31,0.069028,0.0768932,0.0615709,0.069028,386131963.79299
1986-09-30,0.069028,0.0768932,0.0615709,0.069028,413489050.89957
1986-10-31,0.069028,0.0999629,0.069028,0.0922057,2270639736.5453
1986-11-30,0.0922057,0.122947,0.0922057,0.115141,1528489520.6072
1986-12-31,0.115141,0.122947,0.107588,0.115141,1046377945.7763
1987-01-31,0.115141,0.184403,0.115141,0.17672,2844763030.9898
1987-02-28,0.17672,0.19211,0.161574,0.184403,2660113045.786
1987-03-31,0.184403,0.238322,0.17672,0.230591,2586227937.9188
1987-04-30,0.230591,0.261237,0.215211,0.245924,3072432645.6039
1987-05-31,0.245924,0.307456,0.245924,0.276695,3178979186.7616
1987-06-30,0.276695,0.276695,0.230591,0.245924,2507957404.7157
1987-07-31,0.245924,0.253613,0.215211,0.222912,2630041112.8641
1987-08-31,0.222912,0.291999,0.215211,0.284404,2951100759.8774
1987-09-30,0.284404,0.32274,0.253613,0.315117,2254977284.8701
1987-10-31,0.315117,0.376689,0.17672,0.238322,5173291219.6662
1987-11-30,0.238322,0.245924,0.19211,0.215211,2248127536.7435
1987-12-31,0.215211,0.269093,0.19211,0.261237,2581696290.6465
1988-01-31,0.261237,0.291999,0.253613,0.269093,2852301907.1879
1988-02-29,0.269093,0.291999,0.238322,0.284404,2035974242.4968
1988-03-31,0.284404,0.315117,0.261237,0.269093,3065311441.3201
1988-04-30,0.269093,0.284404,0.253613,0.261237,1675152845.7274
1988-05-31,0.261237,0.284404,0.253613,0.276695,1498104316.7568
1988-06-30,0.276695,0.32274,0.276695,0.32274,1738241238.9372
1988-07-31,0.32274,0.338247,0.269093,0.284404,2031922920.2946
1988-08-31,0.284404,0.284404,0.230591,0.238322,2701190441.7836
1988-09-30,0.238322,0.261237,0.230591,0.253613,1764324457.4985
1988-10-31,0.245924,0.261237,0.230591,0.238322,2221898139.5005
1988-11-30,0.238322,0.238322,0.215211,0.222912,2260803716.3124
1988-12-31,0.230591,0.261237,0.222912,0.253613,1494407973.148
1989-01-31,0.253613,0.291999,0.238322,0.284404,1994186777.0565
1989-02-28,0.284404,0.307456,0.276695,0.284404,2613522420.2735
1989-03-31,0.284404,0.299621,0.222912,0.238322,4435818892.5042
1989-04-30,0.238322,0.269093,0.230591,0.269093,1645749150.999
