Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2025-03-25,168.98,170.63,168.315,170.56,24174373
2025-03-26,169,169.61,164.84,165.06,28939326
2025-03-27,164.63,165.42,162,162.24,24508273
2025-03-28,160.49,161.82,153.63,154.33,48669335
2025-03-31,153.11,155.54,150.662,154.64,54603464
2025-04-01,153.62,158.1,153.62,157.07,30672899
2025-04-02,155.15,158.4052,154.7,157.04,25041730
2025-04-03,151.11,152.7799,150.39,150.72,46883371
2025-04-04,148.01,151.07,145.38,145.6,62259539
2025-04-07,141.55,152.85,140.53,146.75,76794136
2025-04-08,151.22,152.24,143.03,144.7,52200208
2025-04-09,144.415,159.55,143.905,158.71,70406232
2025-04-10,156.54,157.72,149.93,152.82,48021972
2025-04-11,152.9,157.67,152.82,157.14,33636239
2025-04-14,159.995,161.72,157.56,159.07,30332957
2025-04-15,159.125,159.65,155.21,156.31,27551534
2025-04-16,153.1,155.89,151.51,153.33,28187421
2025-04-17,154.29,154.68,148.5,151.16,33046576
2025-04-21,148.88,148.945,146.1,147.67,26049115
2025-04-22,148.89,152.19,148.54,151.47,26971774
2025-04-23,155.61,157.525,153.81,155.35,31128833
2025-04-24,156.15,159.59,155.79,159.28,45893951
2025-04-25,165.07,166.1,161.04,161.96,56033995
2025-04-28,162.425,163.15,158.6,160.61,29745782
2025-04-29,160.325,160.74,157.52,160.16,26808958
2025-04-30,157.975,159.27,155.4,158.8,34981059
2025-05-01,160.45,161.95,158.91,161.3,30203248
2025-05-02,163.405,164.97,161.87,164.03,25715005
2025-05-05,163,165.39,162.72,164.21,21341814
2025-05-06,162.17,164.8,161.19,163.23,21277210
2025-05-07,164.08,165,147.84,151.38,127747554
2025-05-08,155,155.93,152.9,154.28,57498692
2025-05-09,154.17,155.05,152.2,152.75,32435281
2025-05-12,157.485,159.1,156.25,158.46,44138818
2025-05-13,158.79,160.57,156.16,159.53,42382126
2025-05-14,159.96,167,159.61,165.37,48755869
2025-05-15,165.84,166.205,162.3732,163.96,33146669
2025-05-16,167.725,169.35,165.62,166.19,42846925
2025-05-19,164.51,166.64,164.22,166.54,30426097
2025-05-20,166.43,168.5,162.9,163.98,46607656
2025-05-21,163.69,173.14,163.56,168.56,73415956
2025-05-22,171.85,176.77,170.71,170.87,74864418
2025-05-23,169.055,169.96,167.89,168.47,35211439
2025-05-27,170.16,173.17,170,172.9,37995670
2025-05-28,173.16,175.265,171.9107,172.36,34783997
2025-05-29,174,174.4193,170.63,171.86,29373803
2025-05-30,171.35,172.205,167.44,171.74,52639911
2025-06-02,167.84,169.87,167.39,169.03,38612272
2025-06-03,167.49,168.475,165.28,166.18,45084903
2025-06-04,166.735,168.215,166.36,168.05,26900838
2025-06-05,170.34,170.93,167.59,168.21,36444564
2025-06-06,170.83,174.5,170.83,173.68,35731832
2025-06-09,174.54,176.47,174.37,176.09,28935906
2025-06-10,176.2,181.105,174.91,178.6,61766121
2025-06-11,179.77,180.37,176.75,177.35,31646757
2025-06-12,176.18,176.72,174.745,175.7,20941873
2025-06-13,172.44,177.13,172.385,174.67,27663107
2025-06-16,174.73,176.94,174.65,176.77,27389208
2025-06-17,175.7,177.3648,174.58,175.95,24973043
2025-06-18,176.01,176.56,173.2,173.32,28707524
2025-06-20,173.945,174.34,165.46,166.64,75659917
2025-06-23,166.27,167.34,162,165.19,57670985
2025-06-24,166.92,168.22,166.13,166.77,40524312
2025-06-25,167.63,172.36,167.55,170.68,35478989
2025-06-26,172.43,173.69,169.94,173.54,31796690
2025-06-27,173.54,178.68,171.73,178.53,108140200
2025-06-30,180.78,181.23,174.58,176.23,63378856
2025-07-01,175.735,176.09,173.53,175.84,35904526
2025-07-02,175.54,178.86,175.07,178.64,29128947
2025-07-03,178.5,179.67,177.05,179.53,21689729
2025-07-07,179.06,179.297,175.68,176.79,34175648
2025-07-08,177.85,177.95,172.81,174.36,40442535
2025-07-09,175.25,179.44,172.77,176.62,43025594
2025-07-10,175.63,178.429,174.38,177.62,29252386
2025-07-11,176.785,181.43,176.48,180.19,34282922
2025-07-14,181.01,183.67,179.68,181.56,32536632
2025-07-15,182.81,184.22,181.6,182,33448251
2025-07-16,183.235,184.327,182.03,182.97,33104193
2025-07-17,182.14,184.06,180.48,183.58,31992565
2025-07-18,185.4,186.42,183.71,185.06,34014509
2025-07-21,186.25,190.285,186.15,190.1,45803129
2025-07-22,191.495,191.645,187.46,191.34,44660215
2025-07-23,191.5,192.53,189.18,190.23,58681948
2025-07-24,197.03,197.95,191,192.17,74881687
2025-07-25,191.98,194.33,191.26,193.18,39785863
2025-07-28,193.65,194.05,190.84,192.58,38139504
2025-07-29,192.43,195.92,192.08,195.75,41389153
2025-07-30,195.6,197.5999,194.685,196.53,32445405
2025-07-31,195.71,195.99,191.09,191.9,51329163
2025-08-01,189.025,190.83,187.82,189.13,34832181
2025-08-04,190.29,195.27,190.12,195.04,31547350
2025-08-05,194.71,197.8599,193.885,194.67,31602340
2025-08-06,194.5,196.63,193.67,196.09,21562908
2025-08-07,197.06,197.54,194.33,196.52,26321811
2025-08-08,197.22,202.61,197.17,201.42,39161826
