Opis  X1           X2           X3            y(x)                 
Opis1   4.357512226  8.6983513    4.257267193   1.000                
Opis2   9.224036402  18.26484919  -35.34086772  0.001                
Opis3   16.93270443  32.96042608  -65.87630722  0.002                
Opis4   28.19378501  55.56190885  -105.82762    0.001                
Opis5   43.49150483  86.59518662  -260.6972822  0.047                
Opis6   53.22141291  105.6173319  -399.2162085  0.093                
Opis7   68.02551224  135.7834799  -449.0285957  0.066                
Opis8   95.05901316  190.0925078  -805.870644   0.118                
Opis9   108.8507926  217.262833   -956.5272646  0.125                
Opis10  121.6160877  242.966851   -1326.273219  0.168                
Opis11  151.6144477  303.0234056  -1612.37387   0.163                
Opis12  187.2246464  373.566045   -2202.50396   0.181                
Opis13  217.4422476  434.0050028  -2642.582615  0.187                
Opis14  228.1046094  455.346616   -3314.290594  0.215                
