dolnoœl¹skie;29311,31;26066,55;13161918;15286356;2879,27;2910;110,7;100,9
kujawsko-pomorskie;51759,59;52583,6;9131747;7938915;1996;2092,56;110,8;101,1
lubelskie;243185,3;237734,13;4870931;4729178;2011,05;2156,15;110,7;100,7
lubuskie;15330,76;13775,93;2026222;2009504;975,02;1021,47;112,4;101,3
³ódzkie;136748,48;136072,77;31609089;42960764;2362,52;2513,09;110,7;100,8
ma³opolskie;201347,64;201007,74;6338697;11001246;3429,63;3360,58;111,8;100,8
mazowieckie;373741,41;363326,56;28355607;28654899;5510,53;5316,84;111,9;100,8
opolskie;14397,33;13656,13;14820211;12207882;936,73;1004,42;110,2;100,7
podkarpackie;149914,9;145049,55;1807091;3244439;2071,68;2129,29;111,5;100,7
podlaskie;207513,95;202928,86;1817912;1974984;1138,22;1194,97;110,8;100,6
pomorskie;79901,36;79573,71;6081627;6511562;2359,57;2295,81;111,5;100,9
œl¹skie;82838,35;82680,59;26956329;41222470;4320,13;4599,45;111,3;100,8
œwiêtokrzyskie;95951,58;94963,9;12463398;11523634;1168,5;1268,24;110,5;100,8
warmiñsko-mazurskie;66821,61;60334,97;1437823;1592221;1357,91;1446,92;111,5;100,9
wielkopolskie;88601,54;89055,45;6127142;17169379;3487,97;3467,02;111,6;101,1
zachodniopomorskie;27027,63;22953,01;5765596;9464519;1631,78;1718,86;112,7;100,9
