

>>ERROR COUNT: 1<<
      --  Case  --:         x1,         x2,         x3,       y(x) 
for   C02 - values:      4.358,      8.698,    4.25727:     0.9999
for   C03 - values:      9.224,     18.265,  -35.34087:     0.0011
for   C04 - values:     16.933,     32.960,  -65.87631:     0.0018
for   C05 - values:     28.194,     55.562, -105.82762:     0.0008
for   C06 - values:     43.492,     86.595, -260.69728:     0.0472
for   C07 - values:     53.221,    105.617, -399.21621:     0.0930
for   C08 - values:     68.026,    135.783, -449.02860:     0.0656
for   C09 - values:     95.059,    190.093, -805.87064:     0.1176
for   C10 - values:    108.851,    217.263, -956.52726:     0.1253
for   C11 - values:    121.616,    242.967, -1326.27322:    0.1676
for   C12 - values:    151.614,    303.023, -1612.37387:    0.1628
for   C13 - values:    187.225,    373.566, -2202.50396:    0.1814
for   C14 - values:    217.442,    434.005, -2642.58261:    0.1869
for   C15 - values:    228.105,    455.347, -3314.29059:    0.2154


>>ERROR COUNT: 1<<
      --  Case  --:         x1,         x2,         x3,       y(x) 
for   C02 - values:      4.358,      8.698,    4.25727:     0.9999
for   C03 - values:      9.224,     18.265,  -35.34087:     0.0011
for   C04 - values:     16.933,     32.960,  -65.87631:     0.0018
for   C05 - values:     28.194,     55.562, -105.82762:     0.0008
for   C06 - values:     43.492,     86.595, -260.69728:     0.0472
for   C07 - values:     53.221,    105.617, -399.21621:     0.0930
for   C08 - values:     68.026,    135.783, -449.02860:     0.0656
for   C09 - values:     95.059,    190.093, -805.87064:     0.1176
for   C10 - values:    108.851,    217.263, -956.52726:     0.1253
for   C11 - values:    121.616,    242.967, -1326.27322:    0.1676
for   C12 - values:    151.614,    303.023, -1612.37387:    0.1628
for   C13 - values:    187.225,    373.566, -2202.50396:    0.1814
for   C14 - values:    217.442,    434.005, -2642.58261:    0.1869
for   C15 - values:    228.105,    455.347, -3314.29059:    0.2154
