"","geo_name","output","employees","investments","year","t"
"1","Austria",7664.7,20.29,3820.9,1995,1
"2","Ireland",7851.6,26.33,5486.3,2015,21
"3","Czechia",285968,108.35,174579,2019,25
"4","Latvia",2354.4,32.13,1608.8,2012,18
"5","Romania",67595.3,316.9,35123.5,2009,15
"6","United States",304000,1157860,176900,2006,12
"7","Finland",8547,30.8,4094,2010,16
"8","Austria",9765.2,27.09,5554.5,2014,20
"9","Bulgaria",7391,88.5,3908.6,2004,10
"10","Italy",52876.7,423.4,22159,2007,13
"11","Malta",200,0.81,109.5,2004,10
"12","Spain",47414,439.6,21231,2008,14
"13","Sweden",130554,35,85674,2001,7
"14","France",71980.8,368.2,41932.8,2002,8
"15","Japan",15261853,487447.90625,6793435,1999,5
"16","Denmark",62589.4,38.79,39754.2,2003,9
"17","Lithuania",3360,51.09,2148.6,2016,22
"18","Netherlands",21399,99,11447,1996,2
"19","Sweden",182297,41,122062,2020,26
"20","France",94310.6,355.1,57608.4,2021,27
"21","Bulgaria",7131.8,140.45,3583.1,1998,4
"22","Japan",13548773,755456.796875,7414883,2018,24
"23","Estonia",1522.9,18.62,928.9,2012,18
"24","Netherlands",31972,96,19345,2015,21
"25","Slovenia",1562,5.17,905.8,2012,18
"26","United Kingdom",21160,203.509,10530,2002,8
"27","Croatia",3287.6,28.35,1738.5,2013,19
"28","Bulgaria",9243.4,97.29,5091.7,2017,23
"29","Lithuania",2397.3,43.21,1548.4,2010,16
"30","Poland",98988,202.6,62186,2007,13
"31","Romania",8298.4,549.9,3833.2,1997,3
"32","Slovakia",2239.3,86.58,1546.4,2004,10
"33","Austria",7606.3,20.86,4022.4,2002,8
"34","Hungary",2001974,141.68,1161119,2005,11
"35","Luxembourg",349.3,1.35,176.5,2002,8
"36","Estonia",986.9,20.32,560.2,2006,12
"37","Portugal",6978.8,95.3,3044.8,1999,5
"38","United Kingdom",20492,232.144,10846,1996,2
"39","Ireland",6758,25.74,4046.7,1997,3
"40","Czechia",184552,187.05,101940,2001,7
"41","Luxembourg",509.8,1.65,371.9,2021,27
"42","Greece",12034.1,138.6,4646,1998,4
"43","Portugal",9667.7,98.6,5735.5,2018,24
"44","United Kingdom",30079,202.768,17983,2015,21
"45","Austria",7436.3,20.11,3848.1,1996,2
"46","France",71482.2,325.8,47624.6,2009,15
"47","Ireland",8141.4,27.43,5586.5,2016,22
"48","Czechia",298319,106.08,185017,2020,26
"49","Latvia",2406.1,34,1700.8,2013,19
"50","Romania",63896.7,284.1,35916.4,2010,16
"51","United States",349300,1152393,203100,2007,13
"52","Finland",9262,31.3,4797,2011,17
"53","Austria",9335.9,28.08,5423.8,2015,21
"54","Bulgaria",7433.6,88.13,4009,2005,11
"55","Italy",55504.9,412,24717.9,2008,14
"56","Malta",205,0.82,113.1,2005,11
"57","Spain",43517,433.6,19379,2009,15
"58","Sweden",128479,35,82867,2002,8
"59","France",70201.2,362.4,41882,2003,9
"60","Japan",15031035,503321.44140625,6765575,2000,6
"61","Denmark",64714.8,38.07,40607.9,2004,10
"62","Lithuania",3722.2,49.58,2221.7,2017,23
"63","Netherlands",22598,103,11603,1997,3
"64","Sweden",196156,42,135227,2021,27
"65","Croatia",2102.7,36.44,1214.5,1995,1
"66","Bulgaria",6520.3,118.59,3275,1999,5
"67","Japan",13395052,782717.09375,7251420,2019,25
"68","Estonia",1568,18.49,984,2013,19
"69","Netherlands",32776,98,19352,2016,22
"70","Slovenia",1586.8,5,927,2013,19
"71","United Kingdom",21407,193.512,10705,2003,9
"72","Croatia",2921.2,41.22,1602.7,2014,20
"73","Bulgaria",9257.6,99.09,5535.7,2018,24
"74","Lithuania",3047.3,42.45,1954,2011,17
"75","Poland",99750,214.7,65643,2008,14
"76","Romania",10140.6,487.7,4819.1,1998,4
"77","Slovakia",2414,84.22,1674.3,2005,11
"78","Austria",7442.7,21.24,4014.7,2003,9
"79","Hungary",2119990,137.75,1259298,2006,12
"80","Luxembourg",295.6,1.33,173.8,2003,9
"81","Estonia",1310.6,19.01,666.8,2007,13
"82","Portugal",7093.7,94.3,3100.3,2000,6
"83","United Kingdom",20677,256.111,11748,1997,3
"84","Ireland",6960.1,26.34,4164.9,1998,4
"85","Czechia",166252,153.15,94685,2002,8
"86","Latvia",720.9,50.2,404.2,1995,1
"87","Greece",12479.3,133.7,5052,1999,5
"88","Portugal",10104.7,97,5815.1,2019,25
"89","United Kingdom",29759,199.535,18229,2016,22
"90","Austria",7714.3,20.59,4020.7,1997,3
"91","France",77132.3,319.7,47173.6,2010,16
"92","Ireland",9257.5,27.71,5804.4,2017,23
"93","Czechia",312920,103.95,201975,2021,27
"94","Latvia",2469.2,32.82,1645,2014,20
"95","Romania",72106.2,269,37160.5,2011,17
"96","United States",372600,1145148,226100,2008,14
"97","Finland",9515,31.8,5130,2012,18
"98","Austria",9350,28.19,5262.4,2016,22
"99","Bulgaria",7538.4,84.9,4270.3,2006,12
"100","Italy",51538.2,398.7,22991.3,2009,15
"101","Malta",235.4,0.85,137.8,2006,12
"102","Spain",46539,460.9,20500,2010,16
"103","Sweden",133465,34,87229,2003,9
"104","France",72647.5,373.1,43471.3,2004,10
"105","Japan",14146712,511076.28515625,6737712,2001,7
"106","Denmark",59555.5,37.16,41578.6,2005,11
"107","Lithuania",3594.9,48.73,2268.4,2018,24
"108","Netherlands",21747,104,11617,1998,4
"109","Slovenia",881.9,14.28,477.3,1995,1
"110","Croatia",2192.6,36.42,1224.3,1996,2
"111","Bulgaria",6465.1,114.33,3379.7,2000,6
"112","Japan",13322410,768556.20703125,7380265,2020,26
"113","Estonia",1607.9,18,973.5,2014,20
"114","Netherlands",35189,99,20413,2017,23
"115","Slovenia",1621.8,5.2,943,2014,20
"116","United Kingdom",21826,206.65,12191,2004,10
"117","Croatia",2939.9,38.91,1577.6,2015,21
"118","Bulgaria",9350.8,101.1,5448.4,2019,25
"119","Lithuania",3342,46.45,2012.3,2012,18
"120","Poland",98972,201.9,62842,2009,15
"121","Romania",13398.7,466.3,6425.7,1999,5
"122","Slovakia",2827.7,73.7,1874.5,2006,12
"123","Austria",7592.4,21.34,4000.7,2004,10
"124","Hungary",2253601,137.12,1356164,2007,13
"125","Luxembourg",330.4,1.01,179.5,2004,10
"126","Estonia",1284.9,17.17,719.6,2008,14
"127","Portugal",7308.4,95.5,3288.4,2001,7
"128","United Kingdom",20260,255.2,10913,1998,4
"129","Ireland",5944.5,27.34,3557.6,1999,5
"130","Czechia",162682,147.76,93806,2003,9
"131","Latvia",721.5,50.48,406.6,1996,2
"132","Greece",12720.9,134.7,5228.7,2000,6
"133","Portugal",10163.5,97.3,5859.6,2020,26
"134","United Kingdom",31252,200.195,18881,2017,23
"135","Austria",7467.7,20.01,3877.6,1998,4
"136","France",83629.2,320.5,51637.7,2011,17
"137","Ireland",9313.4,26.78,6532.3,2018,24
"138","Germany",42045,339,22433,1995,1
"139","Latvia",2502.6,33.78,1658.6,2015,21
"140","Romania",59630.6,298.9,31422.5,2012,18
"141","United States",339000,1141522,209700,2009,15
"142","Finland",9844,31.3,5343,2013,19
"143","Austria",9794.3,29.12,5387.1,2017,23
"144","Bulgaria",7200.2,81.36,4246.6,2007,13
"145","Italy",52125.5,406.5,23499.5,2010,16
"146","Malta",287.3,0.89,185.9,2007,13
"147","Spain",47878,449.4,22630,2011,17
"148","Sweden",139067,34,91573,2004,10
"149","France",71589.8,370,43701.8,2005,11
"150","Japan",13901663,501434.18359375,6536280,2002,8
"151","Denmark",61972.2,36.11,42645.7,2006,12
"152","Lithuania",3896.7,44.83,2358.5,2019,25
"153","Netherlands",21529,108,11702,1999,5
"154","Slovenia",1023.9,14.18,586.6,1996,2
"155","Croatia",2334.7,36.4,1304.7,1997,3
"156","Bulgaria",7021.5,97.93,3735.9,2001,7
"157","Japan",13435736,748769.62109375,7760142,2021,27
"158","Estonia",1676.5,17.55,1086.8,2015,21
"159","Netherlands",34648,101,20793,2018,24
"160","Slovenia",1702.1,5.3,942.4,2015,21
"161","United Kingdom",19395,215.615,11774,2005,11
"162","Croatia",3058.3,33.87,1602.9,2016,22
"163","Bulgaria",9121,99.76,4915.5,2020,26
"164","Lithuania",3309.7,45.41,2077.1,2013,19
"165","Poland",107480,204,65448,2010,16
"166","Romania",17050.9,444.4,8273,2000,6
"167","Slovakia",3280.8,68.76,1932.2,2007,13
"168","Austria",7193.5,21.49,3957.3,2005,11
"169","Hungary",2375328,124.71,1428117,2008,14
"170","Luxembourg",289.4,0.94,181.5,2005,11
"171","Estonia",918.2,16.35,569,2009,15
"172","Portugal",7169.7,94.9,3288.1,2002,8
"173","United Kingdom",19577,238.831,10769,1999,5
