Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,172.15,172.15,169.2,171.17,5357
2017-01-03,170.68,172.59,170.68,172.15,628
2017-01-04,172.64,173.14,171.61,172.1,3921
2017-01-05,171.46,171.66,169.44,171.17,730
2017-01-09,171.17,171.17,167.23,167.23,1407
2017-01-10,167.23,167.93,166.75,167.03,1249
2017-01-11,167.03,168.16,167.03,167.23,1656
2017-01-12,168.11,168.21,166.25,168.21,3137
2017-01-13,169.2,169.84,167.28,168.51,387
2017-01-16,168.51,169.2,168.51,169.2,4826
2017-01-17,170.33,170.33,168.51,169.11,490
2017-01-18,172.64,172.64,168.71,169.2,44195
2017-01-19,169.2,171.71,169.2,169.69,137
2017-01-20,170.19,170.19,169.69,170.19,10134
2017-01-23,170.87,174.12,170.19,174.02,2554
2017-01-24,174.32,181.89,174.32,174.62,2019
2017-01-25,175.6,179.04,174.62,178.55,12355
2017-01-26,178.79,178.79,171.56,176.83,4027
2017-01-27,176.83,178.06,175.1,176.38,14979
2017-01-30,176.58,179.09,176.08,176.08,2819
2017-01-31,177.07,177.56,177.07,177.17,1632
2017-02-01,177.12,185.92,176.18,180.76,2762
2017-02-02,180.02,182.97,180.02,181.49,2302
2017-02-03,181.49,181.49,176.23,177.07,2112
2017-02-06,178.45,178.45,171.17,171.17,3398
2017-02-07,171.46,174.12,171.07,173.43,5931
2017-02-08,176.08,181.84,175.8,181.84,4367
2017-02-09,183.47,192.81,183.47,191.82,20227
2017-02-10,190.84,196.75,190.84,196.75,19477
2017-02-13,196.75,202.35,196.5,202.35,10279
2017-02-14,202.65,206.19,201.17,205.1,8085
2017-02-15,205.1,208.06,202.69,208.06,11389
2017-02-16,209.53,211.94,207.66,209.53,3778
2017-02-17,209.43,209.43,203.73,206.58,23262
2017-02-20,206.58,208.06,206.58,206.73,15844
2017-02-21,207.42,208.06,207.03,208.06,813
2017-02-22,208.06,208.06,206.78,207.13,800
2017-02-23,207.52,207.52,207.17,207.22,720
2017-02-24,207.57,207.57,202.16,202.65,83304
2017-02-27,202.65,202.65,200.09,202.11,411
2017-02-28,199.7,201.56,192.47,201.47,1294
2017-03-01,201.42,203.64,200.68,203.64,322
2017-03-02,207.57,221.34,207.57,221.19,14436
2017-03-03,223.31,225.27,218.38,225.27,2946
2017-03-06,225.27,225.27,224.19,224.29,861
2017-03-07,223.31,224.29,215.44,223.8,1209
2017-03-08,220.36,221.83,218.38,221.29,6123
2017-03-09,225.27,225.27,209.53,216.42,1965
2017-03-10,213.17,221.29,210.37,219.96,791
2017-03-13,221.34,225.27,220.36,220.36,549
2017-03-14,226.25,228.23,223.31,226.35,2026
2017-03-15,229.21,236.1,229.21,233.64,2777
2017-03-16,234.12,236.1,229.41,232.56,1865
2017-03-17,229.7,232.84,226.25,229.75,2286
2017-03-20,229.75,232.06,226.25,231.08,1000
2017-03-21,230.19,233.94,219.38,230.19,1640
2017-03-22,223.31,230.14,217.9,229.16,1804
2017-03-23,229.16,230.14,222.32,223.31,9817
2017-03-24,218.38,222.32,211.51,222.17,1937
2017-03-27,219.47,226.25,219.47,226.25,680
2017-03-28,222.42,226.15,222.32,225.22,132
2017-03-29,225.27,228.91,222.47,225.27,880
2017-03-30,225.22,225.22,217.5,219.38,5818
2017-03-31,218.1,228.91,216.42,228.71,2587
2017-04-03,228.23,229.16,222.32,228.23,202
2017-04-04,228.23,228.71,217.45,224.29,2097
2017-04-05,227,227,216.42,221.34,1936
2017-04-06,221.34,221.34,218.88,221.34,712
2017-04-07,220.36,221.34,216.96,221.34,743
2017-04-10,223.11,226.15,218.58,226.15,2034
2017-04-11,225.27,225.27,220.31,220.31,665
2017-04-12,221.09,221.09,216.91,218.33,5812
2017-04-13,217.9,220.75,216.47,220.75,1001
2017-04-18,220.75,225.12,218.38,225.12,2123
2017-04-19,218.88,223.11,218.88,223.11,1162
2017-04-20,222.32,222.32,219.86,222.17,379
2017-04-21,219.42,225.27,219.42,225.27,1914
2017-04-24,225.52,229.7,222.32,227.73,6168
2017-04-25,227.73,231.18,224.78,230.68,3991
2017-04-26,230.68,231.08,226.4,230.68,1363
2017-04-27,229.31,229.31,225.87,228.23,6526
2017-04-28,227.73,231.08,225.62,231.08,2260
2017-05-02,231.18,232.16,228.28,230.19,551
