Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,15.42,15.42,15.19,15.2,433
2017-01-03,15.2,15.35,15.03,15.35,122
2017-01-04,15.35,15.96,15.35,15.95,317
2017-01-05,15.95,15.95,15.61,15.61,15
2017-01-09,15.61,15.61,15.61,15.61,1
2017-01-10,15.2,15.55,15.03,15.44,1116
2017-01-11,15.4,15.4,15.38,15.39,260
2017-01-12,15.4,15.43,15.06,15.39,321
2017-01-13,15.39,15.39,15.02,15.02,63
2017-01-16,14.84,15.69,14.84,14.9,1626
2017-01-17,15.02,15.02,15.02,15.02,200
2017-01-18,15.05,15.08,15.05,15.08,207
2017-01-19,15.02,15.02,15.02,15.02,50
2017-01-20,15,15.5,15,15.5,730
2017-01-23,15,15.45,15,15.45,101
2017-01-24,15.55,15.55,15.54,15.54,693
2017-01-25,15.03,16,15.03,16,11532
2017-01-26,16.1,16.1,15.6,15.6,2868
2017-01-30,15.99,15.99,15.36,15.36,60
2017-01-31,15.63,15.63,15.63,15.63,1588
2017-02-02,15.95,15.95,15.63,15.89,1503
2017-02-03,15.41,16,15.41,16,820
2017-02-07,15.75,15.75,15.75,15.75,50
2017-02-08,15.45,15.85,15.45,15.85,321
2017-02-09,15.99,16.39,15.99,16.39,2042
2017-02-10,15.97,16.5,15.79,16.5,2265
2017-02-13,16.36,16.6,16.36,16.6,3036
2017-02-15,16.36,16.36,16.36,16.36,6
2017-02-16,16.11,17.3,16.1,17.3,4049
2017-02-17,17,17.46,16.76,17.46,660
2017-02-20,17,17.5,17,17.5,1300
2017-02-21,17.01,17.11,17.01,17.11,1470
2017-02-22,17.33,17.33,17.33,17.33,10
2017-02-23,17,17.33,16.84,17.33,448
2017-02-24,16.88,17.55,16.88,17.55,1230
2017-02-28,17.52,17.8,17.02,17.8,1723
2017-03-01,17.8,17.8,17.21,17.5,2040
2017-03-02,17,17.6,17,17.6,655
