Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,7.97,7.97,7.6,7.66,2002
2017-01-03,8.05,8.05,7.33,7.6,155
2017-01-04,7.6,7.6,7.6,7.6,331
2017-01-05,7.6,7.66,7.33,7.66,179
2017-01-09,7.66,7.66,7.32,7.66,1732
2017-01-10,7.66,7.66,7.65,7.66,2990
2017-01-11,7.66,7.7,7.66,7.7,1301
2017-01-12,7.7,8.08,7.7,8.08,7503
2017-01-13,8.08,8.08,8.02,8.08,1023
2017-01-16,8.08,8.08,7.99,7.99,2502
2017-01-17,8.1,8.1,8.1,8.1,2
2017-01-18,8.1,9.8,8.07,9.31,78890
2017-01-19,9.46,10.4,9.46,9.99,24689
2017-01-20,10,10,9.14,9.53,4150
2017-01-23,9.71,9.97,9.3,9.85,4749
2017-01-24,9.69,9.69,9.51,9.69,111
2017-01-25,9.69,9.95,9.51,9.95,1960
2017-01-26,9.95,10.05,9.9,10.05,17306
2017-01-27,10.2,10.49,9.97,10.49,33528
2017-01-30,10.4,10.5,10,10.35,6512
2017-01-31,10.39,10.39,9.51,9.9,26510
2017-02-01,9.58,9.88,9,9.58,7692
2017-02-02,9.13,9.57,9.13,9.15,3
2017-02-03,9.17,9.78,9.17,9.78,11701
2017-02-06,9.8,10.2,9.35,10.2,14731
2017-02-07,10.28,10.99,9.86,10.87,8540
2017-02-08,10.87,11,10.13,10.13,5832
2017-02-09,10.14,10.98,10.14,10.6,13578
2017-02-10,10.65,10.91,10.4,10.91,5296
2017-02-13,11,11,10.4,10.7,1184
2017-02-14,10.9,10.9,10.7,10.7,298
2017-02-15,10.69,11.75,10.69,11.5,15688
2017-02-16,11.5,12.7,11.35,12.7,26108
2017-02-17,13.3,13.78,12.68,12.78,17393
2017-02-20,13.12,13.12,12.4,13.01,4331
2017-02-21,13.01,13.01,12.41,12.89,206
2017-02-22,13,13,12.46,12.9,449
2017-02-23,13,14.63,13,13.97,33522
2017-02-24,13.97,13.97,12.85,13.1,6805
2017-02-27,13.38,13.38,12.2,13,10587
2017-02-28,12.31,13,12.31,13,3970
2017-03-01,12.7,13.32,12.7,13.31,4640
2017-03-02,13.42,13.42,12.87,12.87,28105
2017-03-03,13.98,14.49,13,14.44,18271
2017-03-06,14.49,14.99,13.95,14.3,13539
2017-03-07,14.9,14.9,14.31,14.78,1360
2017-03-08,14.78,14.78,13.51,13.8,48261
2017-03-09,14.17,14.22,13.65,13.7,24298
2017-03-10,14.3,14.3,13.8,13.99,178
2017-03-13,14,14.19,13.99,14.01,12225
2017-03-14,14.3,14.3,13.8,14,11601
2017-03-15,14,14.2,13.8,14,7154
2017-03-16,14.2,14.2,13.8,14,3947
2017-03-17,14.1,14.1,13.8,14,1719
2017-03-20,14.1,14.11,14.1,14.11,21001
2017-03-21,14.15,14.83,13.81,14.25,17302
2017-03-22,14.4,14.4,14,14.28,3970
2017-03-23,14.31,14.31,14.3,14.3,18964
2017-03-24,14.32,14.32,13.86,14,16844
2017-03-27,14.05,14.05,14,14,2
2017-03-28,14.05,14.05,13.87,14,4736
2017-03-29,13.85,14,13.85,13.98,7960
2017-03-30,14,14,13.85,13.98,7118
2017-03-31,14,14,14,14,12701
2017-04-03,14.35,14.49,14.17,14.17,687
2017-04-04,13.85,13.99,13.7,13.95,15198
2017-04-05,14,14,13.73,14,9071
2017-04-06,14.17,14.17,13.79,13.99,4783
2017-04-07,14.32,14.32,13.79,13.99,2039
2017-04-10,14.32,14.32,14,14.3,197
2017-04-11,14.3,14.3,13.78,14,6963
2017-04-12,14.3,14.3,13.75,14.3,10097
2017-04-13,14.3,14.3,14,14.2,209
2017-04-18,14.2,14.3,14.2,14.3,286
2017-04-19,14.29,14.29,13.85,14,7993
2017-04-20,14.3,14.3,13.99,14.24,5502
2017-04-21,14.3,14.3,14.24,14.3,1197
2017-04-24,14.24,14.3,14.05,14.05,166
2017-04-25,14.29,14.29,13.85,14.26,2352
2017-04-26,14.29,14.62,13.86,14.62,15712
2017-04-27,14.7,14.89,14.5,14.89,6884
2017-04-28,14.99,15.49,13.55,14.69,42582
2017-05-02,14.95,15.98,14.76,15.2,15264
2017-05-04,15.85,15.85,15.33,15.45,5947
2017-05-05,15.6,15.6,15.2,15.5,2737
2017-05-08,15.45,15.49,15.45,15.49,3451
2017-05-09,15.45,16.48,15.45,16.48,22088
2017-05-10,16.53,17.42,16.53,17.37,5335
2017-05-11,17.37,19.1,17.2,18.29,8621
2017-05-12,18.2,18.2,17.5,18.05,1413
2017-05-15,18.2,18.68,18.2,18.55,1736
2017-05-16,18.49,18.49,17.3,17.85,2412
2017-05-17,18,18,17.3,17.95,11769
2017-05-18,17.94,17.94,16.5,17.41,3277
2017-05-19,17.73,19,17.2,18.97,4414
2017-05-22,19,20,19,19.71,6981
2017-05-23,19.7,19.7,19.53,19.7,2364
2017-05-24,19.73,19.73,19.2,19.65,749
2017-05-25,19.73,19.73,18.85,18.85,1915
2017-05-26,18.85,19,18.85,19,863
2017-05-29,19.05,20.52,19.05,20.5,6507
2017-05-30,20.5,20.5,20,20,1796
2017-05-31,20.49,20.5,20.01,20.03,799
2017-06-01,20.44,20.44,19.2,19.74,1420
2017-06-02,19.97,20.01,19.8,19.94,1544
2017-06-05,19.94,20.55,19.94,20.48,1800
2017-06-06,20.2,20.2,20,20.18,618
2017-06-07,20.05,20.05,18.46,19.31,3443
2017-06-08,19.52,19.85,18.9,19.85,3516
2017-06-09,20.5,20.8,20.5,20.7,12477
2017-06-12,20.7,20.7,20.2,20.6,3768
2017-06-13,20.7,21.67,20.7,21.45,24325
2017-06-14,21.6,21.6,20.51,21.28,31849
2017-06-16,21.39,22.45,21.39,22.45,3048
2017-06-19,22.18,22.18,21.3,21.82,2981
2017-06-20,21.82,21.82,21,21.81,38223
2017-06-21,21.83,22.04,21.5,21.75,1234
2017-06-22,21.9,21.9,21.4,21.8,346
2017-06-23,21.8,21.8,21.01,21.04,1241
2017-06-26,21.79,21.79,20.5,20.5,1358
2017-06-27,20.73,20.73,19.4,20,2860
2017-06-28,20,20.41,20,20.41,5849
2017-06-29,20.41,20.7,19.81,20.7,8940
2017-06-30,21.8,21.8,20.3,20.9,4029
2017-07-03,21.2,21.2,20,20.8,1103
2017-07-04,20.2,20.2,19.91,20,3588
2017-07-05,20.2,20.2,19.81,20.1,147
2017-07-06,20.1,20.1,19.95,20.1,191
2017-07-07,20.1,20.1,19.8,20.09,452
2017-07-10,20,20,19.7,19.89,4034
2017-07-11,20.19,20.19,18.76,18.97,4261
2017-07-12,19.39,19.39,19,19.36,401
2017-07-13,19.35,19.36,18.92,19.36,416
2017-07-14,19.35,19.36,19.01,19.36,502
2017-07-17,19.01,19.19,18.5,18.6,1657
2017-07-18,18.55,18.6,18.32,18.43,1545
2017-07-19,18.6,18.6,18.32,18.6,738
2017-07-20,18.89,18.89,18,18,1390
2017-07-21,17.8,17.89,17,17.89,4842
2017-07-24,17.89,19,17.89,18.4,3451
2017-07-25,18.42,19.7,18.42,19.7,2305
2017-07-26,19.8,19.8,19.2,19.8,835
2017-07-27,19.84,19.9,19.75,19.9,10410
2017-07-28,20.4,20.5,19.43,20.5,3626
2017-07-31,22,22,21.3,21.7,1089
2017-08-01,21.7,21.75,20.8,21.58,107
2017-08-02,21.58,21.58,20,20.4,1005
2017-08-03,20.89,20.89,19.75,20,1062
2017-08-04,20.05,20.57,19.16,20.57,3294
2017-08-07,20.47,20.47,20.45,20.45,2
2017-08-08,20.5,20.5,20.49,20.49,101
2017-08-09,20.49,20.49,19.5,20,2003
2017-08-10,20.1,20.1,20.1,20.1,1375
2017-08-11,20.5,20.5,19.77,20.4,1058
2017-08-14,20.8,20.8,20.8,20.8,2
2017-08-16,20.8,21.78,20.46,21.78,2474
2017-08-17,21.95,22.45,21.6,21.6,3080
2017-08-18,22.2,22.2,21.77,21.77,92
2017-08-21,21.9,21.9,21.15,21.86,1092
2017-08-22,21.86,21.86,21.5,21.8,205
2017-08-23,21.8,21.95,20.52,21.19,2169
2017-08-24,21.29,21.29,20.51,21,1543
2017-08-25,21.3,21.3,20.51,21.24,404
2017-08-28,21.28,21.28,20.3,20.5,510
2017-08-29,20.5,21.25,19,20.98,8967
2017-08-30,21.3,22.4,21.25,22.39,7367
2017-08-31,22.22,23,21.26,21.99,7181
2017-09-01,21.88,22.3,21.27,21.99,5443
2017-09-04,21.99,21.99,21.59,21.59,6721
2017-09-05,21.98,21.99,21.7,21.7,291
2017-09-06,21.72,21.72,20.42,20.7,2208
2017-09-07,21.4,21.4,19.5,20,2200
2017-09-08,20.25,20.25,18.6,18.99,2044
2017-09-11,18.8,18.8,18.1,18.1,15099
2017-09-12,18.1,18.1,17.25,17.48,6824
2017-09-13,17.48,17.82,17.31,17.31,4916
2017-09-14,17.31,18.05,17.31,17.99,527
2017-09-15,17.99,18.03,17.4,17.4,1694
2017-09-18,17.4,17.41,17.31,17.41,1544
2017-09-19,17.84,17.84,17.01,17.01,2946
2017-09-20,16.8,17.1,15.44,17,6268
2017-09-21,16.8,16.8,16,16.45,1689
2017-09-22,16.12,16.52,16.12,16.51,7131
2017-09-25,16.25,16.51,16.25,16.5,5522
2017-09-26,16.54,16.54,16.15,16.5,5922
2017-09-27,16.54,16.8,16.15,16.79,7337
2017-09-28,16.55,17,16.36,16.89,6558
2017-09-29,17,17,16.4,16.8,8954
2017-10-02,17.16,17.16,16.7,17,7611
2017-10-03,17.13,17.13,16.8,17,5517
2017-10-04,16.61,16.87,16.61,16.78,860
2017-10-05,16.78,16.78,16.33,16.77,389
2017-10-06,16.5,16.5,16.33,16.33,296
2017-10-09,16.34,16.5,16.12,16.31,929
2017-10-10,16.13,16.15,15.41,15.94,2489
2017-10-11,15.46,16.4,15.42,15.78,1495
2017-10-12,16.24,16.24,15.51,15.51,346
2017-10-13,15.5,16.19,15.47,15.47,792
2017-10-16,15.68,15.68,15.46,15.5,448
2017-10-17,15.68,15.68,14.15,14.82,8963
2017-10-18,14.81,14.82,14.32,14.82,2243
2017-10-19,14.82,15.56,14.31,15.56,2581
2017-10-20,15.5,15.5,15.48,15.48,52
2017-10-23,15.48,15.48,15.48,15.48,3
2017-10-24,15.48,15.48,14.87,15,1041
2017-10-25,15.48,15.48,14.1,14.5,6960
2017-10-26,14.29,14.4,14.11,14.2,3042
2017-10-27,13.81,14.46,13.81,14.46,2175
2017-10-30,14.46,14.46,14.39,14.39,191
2017-10-31,14.39,15,14.39,15,14652
2017-11-02,15.11,15.11,14,15.07,2188
2017-11-03,15.11,15.11,15,15,92
2017-11-06,15.24,15.24,15,15.04,869
2017-11-07,15.1,15.1,14.41,15.07,1555
2017-11-08,15.03,15.03,15.03,15.03,1401
2017-11-09,15.11,15.11,15.04,15.04,156
2017-11-10,15.01,15.01,14.76,14.76,1061
2017-11-13,15.11,15.11,14.75,14.75,202
2017-11-14,15,15,14.99,14.99,2
2017-11-15,15.09,15.09,15.09,15.09,1
2017-11-16,15.04,15.04,14.57,15,895
2017-11-17,15.1,15.1,15.05,15.05,564
2017-11-20,15.22,15.22,15.2,15.2,2
2017-11-21,15.18,15.18,15.1,15.1,132
2017-11-22,15.05,15.05,15.05,15.05,1
2017-11-23,15.1,15.1,14.51,14.8,541
2017-11-24,15.1,15.22,15.1,15.22,2
2017-11-27,15.22,15.22,14.7,14.8,1242
2017-11-28,15,15,14.8,14.8,475
2017-11-29,15,15,14.8,14.8,132
2017-11-30,14.99,14.99,14.56,14.8,517
2017-12-01,14.99,14.99,14.99,14.99,1
2017-12-04,14.99,14.99,14.8,14.8,184
2017-12-05,14.99,14.99,14.5,14.69,1266
2017-12-06,14.69,14.69,14.02,14.35,231
2017-12-07,14.35,14.35,13.85,14,1352
2017-12-08,14,14,13.57,13.8,986
2017-12-11,13.8,13.8,13.59,13.74,405
2017-12-12,13.7,13.7,13.57,13.65,731
2017-12-13,13.61,14.96,13.5,14.38,12064
2017-12-14,14.59,16.9,14.59,16.47,7472
2017-12-15,16.47,16.9,15.77,16.9,1698
2017-12-18,16.84,16.84,15.5,15.95,2782
2017-12-19,16.2,16.2,15.5,15.9,3657
2017-12-20,16,16,15.51,15.9,137
2017-12-21,15.99,15.99,15.85,15.85,39
2017-12-22,15.85,15.85,15.52,15.7,15
2017-12-27,15.85,15.85,15.46,15.5,4416
2017-12-28,15.8,15.8,15.3,15.6,4080
2017-12-29,15.5,15.62,15.3,15.5,4630
2018-01-03,15.5,15.5,15.3,15.3,3068
2018-01-04,15.5,15.5,15.35,15.35,1801
2018-01-05,16.8,16.8,15.3,15.45,2377
2018-01-08,16.05,16.05,14.85,15.4,2258
2018-01-09,15.4,15.4,15.15,15.15,543
2018-01-10,15.05,15.2,15.05,15.2,1051
2018-01-11,15.5,15.5,14.85,15.15,1128
2018-01-12,15.4,15.4,15.4,15.4,454
2018-01-15,15.5,15.5,15.2,15.4,1630
2018-01-16,15.35,15.4,15.25,15.4,4663
2018-01-17,15.35,15.4,15.1,15.4,542
2018-01-18,14.95,15.4,14.95,15.4,1002
2018-01-19,15.3,15.4,15.3,15.4,2852
2018-01-22,15.05,15.4,15,15.4,9588
2018-01-23,15.4,15.4,15.4,15.4,6058
2018-01-24,15.45,15.45,15.4,15.4,2583
2018-01-25,15.4,15.4,15.4,15.4,3222
2018-01-26,15.45,16.8,15.4,16.8,8831
2018-01-29,16.95,17.8,16.55,16.9,9284
2018-01-30,16.95,18.6,16.7,17.8,46341
2018-01-31,18.05,18.9,17.7,18,37086
2018-02-01,17.95,18.2,17.3,17.5,6219
2018-02-02,17.5,17.5,16.8,17,3895
2018-02-05,17.2,17.2,16.2,16.2,4074
2018-02-06,14.7,15.8,14.25,14.4,12577
2018-02-07,14.45,15,14.45,14.9,1592
2018-02-08,14.7,15.5,14.7,15.5,6680
2018-02-09,14.8,16,14.8,16,5274
2018-02-12,16,16.8,15.5,16.8,1170
2018-02-13,16.7,16.7,16.7,16.7,2
2018-02-14,16.6,16.6,15.9,16.15,452
2018-02-15,16.35,16.35,16.35,16.35,1
2018-02-16,16.35,16.35,15.65,16,2050
2018-02-19,16,16.25,16,16.25,766
2018-02-20,16.25,16.25,16,16,27
2018-02-21,16,16,15.95,16,5105
2018-02-22,16,16,15.05,15.7,2003
2018-02-23,15.85,16,15.85,16,986
2018-02-26,15.85,15.85,15.45,15.8,507
2018-02-27,15.95,15.95,15.25,15.95,2323
2018-02-28,15.95,17,15.25,17,7023
2018-03-01,17,17,16.2,16.3,1817
2018-03-02,16.8,16.8,16.2,16.3,395
2018-03-05,16.1,16.1,16,16,719
2018-03-06,15.8,17,15.8,17,879
2018-03-07,16.8,16.8,16.3,16.35,2367
2018-03-08,15.95,16.45,15.95,16.45,234
2018-03-09,16.4,16.4,16.4,16.4,2
2018-03-12,16.4,16.4,15.95,16,1600
2018-03-13,16.35,16.35,15.65,16.25,22234
2018-03-14,16,16,15.6,15.8,7328
2018-03-15,15.8,15.8,15.4,15.4,577
2018-03-16,15.65,15.65,15.6,15.6,96
2018-03-19,15.7,15.7,15.4,15.7,1238
2018-03-20,15.7,15.7,15.15,15.3,1316
2018-03-21,15.3,15.3,14.85,15.25,118
2018-03-22,15.3,15.3,14.4,14.75,6225
2018-03-23,14.8,14.8,14.7,14.7,391
2018-03-26,14.1,14.6,14.1,14.55,4939
2018-03-27,14.8,14.8,14.15,14.55,1304
2018-03-28,14.5,14.5,14.15,14.45,102
2018-03-29,14.4,14.45,14.15,14.45,2254
2018-04-03,14.4,14.4,13.65,14.15,1590
2018-04-04,14.15,14.15,14.15,14.15,1
2018-04-05,14,14,14,14,102
2018-04-06,13.95,13.95,13.65,13.65,698
2018-04-09,13.65,13.65,12.4,12.8,6419
2018-04-10,12.95,14.95,12.5,14.95,5451
2018-04-11,14,14.4,13.45,14,6528
2018-04-12,13.95,13.95,13.6,13.85,602
2018-04-13,13.55,13.8,12.8,13.45,9248
2018-04-16,13.45,13.5,13.45,13.45,92
2018-04-17,13.4,13.4,12.9,12.9,1351
2018-04-18,12.9,13,12.9,13,112
2018-04-19,12.95,13,12.95,13,238
2018-04-20,12.95,13.35,12.8,13.25,2134
