Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,2.7424,2.7424,2.7042,2.7329,2395
2017-01-03,2.7233,2.8476,2.7233,2.8476,2749
2017-01-04,2.8476,2.9622,2.752,2.9049,16050
2017-01-05,2.8762,2.8762,2.752,2.8667,9623
2017-01-09,2.8667,2.924,2.8093,2.8093,11901
2017-01-10,2.8667,2.8858,2.8284,2.8858,13484
2017-01-11,2.8858,2.8858,2.838,2.838,12359
2017-01-12,2.838,2.8762,2.8189,2.8571,495
2017-01-13,2.8571,2.8571,2.8189,2.8189,3150
2017-01-16,2.8189,2.8858,2.8189,2.8858,3061
2017-01-17,2.8953,2.8953,2.8476,2.8953,3777
2017-01-18,2.8476,2.8953,2.8476,2.8953,10
2017-01-19,2.8762,2.8762,2.7902,2.838,2987
2017-01-20,2.8667,2.8667,2.8667,2.8667,10
2017-01-23,2.8667,2.8667,2.7711,2.7711,6151
2017-01-24,2.7711,2.7711,2.7329,2.7711,4775
2017-01-25,2.7616,2.7711,2.7616,2.7711,717
2017-01-26,2.8476,2.8476,2.7424,2.7711,5448
2017-01-27,2.8571,2.8571,2.7711,2.7807,5505
2017-01-30,2.7807,2.7807,2.7424,2.7711,4682
2017-01-31,2.7807,2.8284,2.752,2.8284,25420
2017-02-01,2.8284,2.8571,2.8284,2.8284,1230
2017-02-02,2.8667,2.8667,2.7998,2.7998,2198
2017-02-03,2.8476,2.8476,2.7902,2.7902,232
2017-02-06,2.8476,2.8571,2.7998,2.8571,3265
2017-02-07,2.8571,2.8571,2.8571,2.8571,10
2017-02-08,2.8667,2.8762,2.7902,2.7902,8049
2017-02-09,2.8571,2.8571,2.7902,2.7902,1695
2017-02-10,2.7902,2.8476,2.7711,2.8476,2459
2017-02-13,2.8667,2.9049,2.8476,2.8953,16644
2017-02-14,2.8858,2.9431,2.8858,2.8858,10059
2017-02-15,2.9431,2.9431,2.8953,2.9144,705
2017-02-16,2.9527,2.9527,2.8571,2.9527,2028
2017-02-17,2.9718,2.9718,2.838,2.838,4220
2017-02-20,2.838,2.838,2.8093,2.8189,1606
2017-02-21,2.8571,2.8762,2.8476,2.8762,1214
2017-02-22,2.9431,2.9431,2.8189,2.8571,6563
2017-02-23,2.8571,2.8571,2.7807,2.8476,3824
2017-02-24,2.8476,2.8953,2.7807,2.8953,2716
2017-02-27,2.8762,2.8762,2.8762,2.8762,19
2017-02-28,2.8953,2.8953,2.7902,2.8762,1160
2017-03-01,2.8667,2.8762,2.8571,2.8762,861
2017-03-02,2.8762,2.9336,2.8762,2.924,5564
2017-03-03,2.924,2.924,2.8667,2.8667,1886
2017-03-06,2.8667,2.9336,2.8093,2.9336,1265
2017-03-07,2.8953,2.9336,2.8284,2.9336,4269
2017-03-08,2.9431,2.9431,2.9431,2.9431,340
2017-03-09,2.9144,2.9144,2.8953,2.9049,680
2017-03-10,2.8953,2.9049,2.838,2.9049,1263
2017-03-13,2.9049,2.9049,2.8571,2.9049,2789
2017-03-14,2.8858,2.9049,2.7998,2.9049,4330
2017-03-15,2.9049,2.9049,2.8858,2.8858,359
2017-03-16,2.9049,2.9049,2.8093,2.8858,1528
2017-03-17,2.8858,2.8858,2.7998,2.7998,2627
2017-03-20,2.8762,2.8762,2.7998,2.8093,3419
2017-03-21,2.8093,2.9049,2.7807,2.9049,5502
2017-03-22,2.752,2.752,2.6182,2.6182,12884
2017-03-23,2.6087,2.6087,2.5609,2.58,5992
2017-03-24,2.58,2.58,2.4462,2.4844,13527
2017-03-27,2.4844,2.4844,2.408,2.408,6280
2017-03-28,2.408,2.408,2.1022,2.1022,55717
2017-03-29,2.15,2.2647,2.1309,2.1978,38759
2017-03-30,2.1978,2.2264,2.1882,2.2073,54837
2017-03-31,2.2264,2.2264,2.1978,2.2073,23030
2017-04-03,2.2073,2.2264,2.1978,2.1978,6594
2017-04-04,2.1978,2.1978,2.064,2.1404,13394
2017-04-05,2.15,2.2264,2.1022,2.1691,9920
2017-04-06,2.1787,2.1978,2.1309,2.1978,4277
2017-04-07,2.1978,2.1978,2.1978,2.1978,1238
