Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,7.7876,7.7876,7.7792,7.7792,3
2017-01-03,7.7034,7.7034,7.6613,7.7034,1292
2017-01-04,7.6613,7.7034,7.4508,7.6024,3896
2017-01-05,7.5771,7.7792,7.5771,7.7455,3573
2017-01-09,7.7455,8.2506,7.5771,7.5771,5326
2017-01-10,7.7371,7.7371,7.5856,7.5856,65
2017-01-11,7.7287,7.7287,7.5771,7.7034,330
2017-01-12,7.695,7.695,7.695,7.695,12
2017-01-13,7.594,7.7034,7.594,7.7034,1238
2017-01-16,7.6529,7.7034,7.4424,7.5687,4840
2017-01-17,7.5687,7.5771,7.5351,7.5771,2149
2017-01-18,7.594,7.594,7.594,7.594,223
2017-01-19,7.5435,7.6024,7.5435,7.6024,1944
2017-01-20,7.6613,7.956,7.5182,7.956,1837
2017-01-23,7.7708,7.7708,7.7708,7.7708,17
2017-01-24,7.5771,7.7792,7.5519,7.7455,616
2017-01-25,7.7455,7.7708,7.5771,7.7708,656
2017-01-26,7.7624,8.6463,7.5771,7.9054,11720
2017-01-27,7.9054,8.6714,7.9054,8.3095,2602
2017-01-30,8.3011,8.3011,8.2506,8.3011,368
2017-01-31,8.3011,9.2437,8.0822,8.9244,2421
2017-02-01,9.2607,10.179,9.2607,10.179,2486
2017-02-02,10.507,10.944,10.271,10.944,2911
2017-02-03,10.944,10.944,10.86,10.86,378
2017-02-06,11.113,11.804,11.113,11.778,1411
2017-02-07,12.628,12.797,11.955,12.46,2157
2017-02-08,12.376,12.628,12.208,12.628,815
2017-02-09,12.46,12.46,11.913,12.376,304
2017-02-10,11.787,11.871,11.787,11.871,1017
2017-02-13,11.93,11.93,11.93,11.93,12
2017-02-14,11.45,12.283,11.45,12.283,262
2017-02-15,12.199,12.628,12.199,12.46,1154
2017-02-16,12.62,12.679,12.208,12.679,8232
2017-02-17,12.62,12.628,11.93,12.199,1860
2017-02-20,12.199,12.199,12.199,12.199,12
2017-02-21,12.199,12.199,12.199,12.199,6
2017-02-22,12.191,12.191,11.618,12.191,168
2017-02-23,11.787,12.182,11.787,12.182,1587
2017-02-24,12.182,12.628,12.182,12.628,1544
2017-02-27,12.292,13.471,12.292,13.471,2365
2017-02-28,13.891,13.891,13.891,13.891,113
2017-03-01,16.291,16.291,16.291,16.291,185
2017-03-02,16.417,16.417,16.417,16.417,69
2017-03-03,15.996,16.417,15.996,16.417,311
2017-03-06,16.333,16.333,16.333,16.333,19
2017-03-07,16.333,16.333,15.744,15.744,12
2017-03-08,16.249,16.249,16.249,16.249,273
2017-03-09,16.24,16.24,16.24,16.24,6
2017-03-10,15.744,16.249,15.575,16.249,809
2017-03-14,15.996,16.249,15.996,16.249,3
2017-03-15,16.249,16.249,15.744,16.08,98
2017-03-16,15.575,16.24,15.575,16.24,529
2017-03-17,15.996,15.996,15.996,15.996,142
2017-03-20,15.996,16.005,15.996,15.996,125
2017-03-21,15.828,15.828,15.155,15.155,737
2017-03-22,15.382,15.382,13.849,13.976,2760
2017-03-23,14.22,14.22,13.471,13.471,626
2017-03-24,13.05,13.05,12.881,12.881,725
2017-03-27,12.881,12.881,12.628,12.797,19
2017-03-28,12.628,12.637,12.544,12.637,163
2017-03-29,12.637,12.637,11.618,11.618,282
2017-03-30,11.618,11.618,10.776,10.944,268
2017-03-31,10.944,10.944,10.843,10.944,217
2017-04-03,10.944,10.944,10.397,10.397,60
2017-04-04,10.86,10.86,10.397,10.793,481
2017-04-05,10.818,10.818,10.81,10.81,212
2017-04-06,10.734,10.734,10.692,10.692,131
2017-04-07,9.682,10.734,8.9745,10.734,4521
2017-04-10,10.524,10.734,10.524,10.734,745
2017-04-11,10.734,10.734,10.524,10.524,70
2017-04-12,10.524,10.608,10.524,10.524,89
2017-04-13,10.608,10.608,10.608,10.608,17
2017-04-18,10.608,10.608,10.608,10.608,6
2017-04-19,10.608,11.703,10.524,10.692,3968
2017-04-20,10.869,11.955,10.355,10.961,2582
2017-04-21,10.524,10.961,10.524,10.961,15
2017-04-25,10.961,11.4,10.961,11.391,1155
2017-04-26,11.391,11.4,11.391,11.4,548
2017-04-27,11.618,11.669,11.113,11.669,658
2017-04-28,11.391,11.391,11.391,11.391,13
2017-05-02,11.526,11.669,11.113,11.669,734
2017-05-04,11.618,11.669,11.618,11.669,190
2017-05-08,11.669,11.669,11.113,11.669,645
2017-05-09,11.576,11.576,11.576,11.576,107
2017-05-11,11.282,11.576,11.029,11.576,855
2017-05-15,11.316,11.316,10.776,10.776,262
2017-05-16,10.776,12.628,10.608,12.628,4494
2017-05-17,11.576,12.662,11.029,12.123,980
2017-05-18,12.123,12.123,12.123,12.123,319
2017-05-19,13.134,13.134,13.117,13.117,7
2017-05-22,13.092,13.092,12.452,12.452,1457
2017-05-23,12.797,12.797,12.797,12.797,11
2017-05-24,12.797,12.797,12.191,12.191,647
2017-05-25,12.081,12.081,11.795,11.795,739
2017-05-26,11.787,11.787,11.787,11.787,6
2017-05-29,11.787,11.82,11.787,11.82,832
2017-05-30,11.787,12.712,11.787,12.637,2863
2017-05-31,12.637,12.637,12.149,12.46,1610
2017-06-01,12.46,12.94,12.46,12.94,3012
2017-06-02,13.05,13.504,12.468,12.898,3615
2017-06-05,13.395,14.733,12.965,14.481,1465
2017-06-06,14.001,14.733,14.001,14.733,1297
2017-06-07,14.733,15.155,14.438,15.155,1176
2017-06-08,15.155,16.249,15.155,15.575,945
2017-06-09,15.407,15.407,14.312,14.396,877
2017-06-12,14.817,14.817,13.05,13.218,2732
2017-06-13,13.218,13.26,13.05,13.05,240
2017-06-14,13.05,13.05,12.754,13.05,305
2017-06-16,13.05,13.26,13.05,13.26,357
2017-06-19,13.26,13.471,13.134,13.471,868
2017-06-20,13.26,13.387,13.26,13.387,64
2017-06-21,13.387,13.387,12.965,13.387,125
2017-06-22,13.387,13.387,13.302,13.387,104
2017-06-23,13.387,13.471,13.387,13.471,98
2017-06-26,13.471,13.471,12.965,13.134,1740
2017-06-27,13.26,13.26,13.134,13.134,1150
2017-06-28,13.134,13.639,13.134,13.639,472
2017-06-29,13.496,14.186,13.496,14.186,701
2017-06-30,14.186,14.986,14.186,14.986,460
2017-07-03,14.447,14.447,13.765,14.422,2165
2017-07-04,14.312,14.363,14.312,14.363,280
2017-07-05,14.363,14.363,14.363,14.363,59
2017-07-06,14.363,14.363,14.228,14.346,541
2017-07-07,14.354,14.354,14.346,14.354,163
2017-07-10,14.354,14.901,14.312,14.809,542
2017-07-11,14.565,15.323,14.06,15.155,7380
2017-07-12,15.247,15.281,14.733,15.281,683
2017-07-13,15.466,15.466,15.197,15.407,286
2017-07-14,15.533,15.996,15.239,15.744,1075
2017-07-17,16.249,16.417,15.491,16.417,1477
2017-07-18,16.417,16.417,15.996,15.996,139
2017-07-19,15.584,16.333,15.407,16.215,1496
2017-07-20,16.215,16.838,16.215,16.838,1355
2017-07-21,16.838,16.838,16.333,16.619,1014
2017-07-24,16.619,17.259,16.501,17.259,3958
2017-07-25,17.259,17.453,16.627,17.453,1834
2017-07-26,17.453,17.47,16.627,17.47,3114
2017-07-27,17.47,19.196,16.627,19.196,5405
2017-07-28,17.588,19.196,17.588,19.179,2449
2017-07-31,18.429,19.196,18.353,19.196,1021
2017-08-01,19.196,19.196,18.858,19.196,358
2017-08-02,18.942,20.795,18.942,20.206,3825
2017-08-03,19.886,21.048,19.49,20.837,2024
2017-08-04,20.879,21.048,20.795,20.963,2053
2017-08-07,20.963,21.393,20.374,21.216,2870
2017-08-08,21.048,21.511,21.048,21.511,1322
2017-08-09,21.435,21.637,21.317,21.595,1295
2017-08-10,21.637,21.679,19.364,19.364,6076
2017-08-11,19.28,21.039,18.951,20.87,734
2017-08-14,20.87,21.62,20.037,20.037,4432
2017-08-16,20.206,20.904,20.206,20.795,718
2017-08-17,20.795,20.904,20.795,20.904,523
2017-08-18,20.408,21.048,20.408,21.048,4349
2017-08-21,21.301,21.511,20.904,21.511,2782
2017-08-22,21.511,21.511,21.469,21.469,1739
2017-08-23,21.469,21.469,20.618,21.005,5346
2017-08-24,22.266,22.266,20.049,20.952,3386
2017-08-25,19.673,20.388,18.788,19.718,671
2017-08-28,19.718,19.762,17.446,17.706,6972
2017-08-29,17.616,17.652,16.096,16.99,2839
2017-08-30,16.615,16.615,15.202,15.202,1528
2017-08-31,15.828,15.828,15.291,15.291,999
2017-09-01,15.291,15.676,15.291,15.676,1293
2017-09-04,15.676,16.499,15.604,16.499,1180
2017-09-05,16.481,16.856,15.783,16.597,4735
2017-09-06,16.525,16.525,15.917,16.364,123
2017-09-07,16.364,16.364,16.007,16.364,70
2017-09-08,16.239,16.239,15.649,16.096,180
2017-09-12,15.917,16.454,15.649,16.096,1081
