obserwacja_id,sklep_id,produkt_id,tydzien,kategoria,typ_sklepu,promocja,nowy_produkt,sprzedaz_rzeczywista,prognoza_bazowa,prognoza_alternatywna,blad_bazowy,blad_alternatywny,abs_blad_bazowy,abs_blad_alternatywny
739,1023,2059,20,napoje,maly,0,0,32,15,45,-17,13,17,13
221,1133,2029,31,nabial,sredni,0,0,52,30,35,-22,-17,22,17
93,1077,2006,9,nabial,duzy,0,0,64,115,70,51,6,51,6
824,1018,2016,24,napoje,maly,0,0,23,30,25,7,2,7,2
874,1045,2014,3,slodycze,sredni,0,0,25,25,30,0,5,0,5
234,1080,2034,40,przekaski,duzy,0,1,8,25,60,17,52,17,52
199,1077,2002,40,nabial,sredni,1,1,15,25,50,10,35,10,35
657,1023,2086,13,przekaski,duzy,0,0,20,20,20,0,0,0,0
104,1010,2016,41,slodycze,sredni,0,0,0,25,50,25,50,25,50
841,1071,2070,39,przekaski,maly,0,0,11,10,20,-1,9,1,9
773,1135,2065,23,napoje,dyskont,0,0,107,170,125,63,18,63,18
670,1030,2008,45,nabial,sredni,0,0,24,30,30,6,6,6,6
619,1025,2014,13,slodycze,sredni,0,0,29,30,40,1,11,1,11
448,1004,2015,16,nabial,dyskont,0,0,103,145,110,42,7,42,7
403,1007,2086,25,napoje,duzy,1,0,1106,85,125,-1021,-981,1021,981
122,1136,2019,41,nabial,maly,0,0,0,20,55,20,55,20,55
204,1001,2039,37,nabial,maly,1,1,20,15,20,-5,0,5,0
332,1058,2076,15,slodycze,sredni,0,0,0,35,105,35,105,35,105
894,1061,2002,33,nabial,duzy,1,0,95,95,110,0,15,0,15
685,1098,2052,14,napoje,sredni,0,0,42,25,55,-17,13,17,13
349,1067,2019,12,slodycze,maly,0,0,18,30,15,12,-3,12,3
697,1058,2082,3,chemia,duzy,0,0,15,45,35,30,20,30,20
438,1108,2006,51,slodycze,maly,0,0,0,10,55,10,55,10,55
579,1113,2046,46,chemia,sredni,0,0,20,20,15,0,-5,0,5
473,1063,2005,16,slodycze,maly,0,0,31,20,20,-11,-11,11,11
142,1081,2017,43,napoje,duzy,0,0,56,95,100,39,44,39,44
805,1073,2070,12,przekaski,dyskont,0,0,108,110,95,2,-13,2,13
322,1053,2085,26,przekaski,sredni,0,0,30,40,25,10,-5,10,5
812,1137,2062,35,nabial,maly,0,0,30,30,15,0,-15,0,15
389,1083,2062,40,nabial,duzy,0,1,63,25,35,-38,-28,38,28
75,1010,2013,39,napoje,maly,1,0,30,35,25,5,-5,5,5
649,1086,2036,20,napoje,duzy,1,0,82,215,185,133,103,133,103
299,1011,2034,26,nabial,maly,0,0,25,30,25,5,0,5,0
861,1046,2077,1,slodycze,maly,0,0,21,10,15,-11,-6,11,6
135,1107,2025,5,slodycze,sredni,1,0,25,35,20,10,-5,10,5
168,1050,2085,51,nabial,duzy,0,0,43,60,80,17,37,17,37
667,1120,2047,39,chemia,sredni,0,0,11,25,15,14,4,14,4
263,1030,2080,38,slodycze,maly,0,0,20,10,10,-10,-10,10,10
816,1024,2002,31,chemia,sredni,0,1,8,10,10,2,2,2,2
546,1071,2041,25,napoje,sredni,0,0,110,60,55,-50,-55,50,55
873,1027,2083,27,przekaski,maly,0,0,10,25,20,15,10,15,10
283,1026,2019,51,napoje,sredni,1,0,111,90,85,-21,-26,21,26
779,1040,2057,9,slodycze,duzy,1,0,53,115,90,62,37,62,37
788,1098,2067,9,chemia,maly,0,0,27,10,15,-17,-12,17,12
453,1027,2074,18,napoje,sredni,0,0,62,65,45,3,-17,3,17
796,1139,2026,2,slodycze,duzy,0,0,90,105,85,15,-5,15,5
284,1139,2019,25,nabial,dyskont,0,0,68,95,100,27,32,27,32
733,1015,2051,19,napoje,maly,0,0,14,20,30,6,16,6,16
876,1100,2072,28,napoje,duzy,0,1,42,30,40,-12,-2,12,2
550,1085,2065,36,chemia,dyskont,1,0,47,65,85,18,38,18,38
238,1020,2010,20,przekaski,duzy,0,0,32,55,20,23,-12,23,12
865,1110,2054,26,przekaski,dyskont,0,0,63,95,45,32,-18,32,18
17,1073,2080,30,nabial,dyskont,0,0,68,105,60,37,-8,37,8
490,1049,2049,50,nabial,maly,0,0,20,15,10,-5,-10,5,10
738,1112,2075,37,napoje,maly,0,0,17,5,20,-12,3,12,3
160,1114,2016,25,przekaski,dyskont,0,0,109,85,75,-24,-34,24,34
561,1050,2028,6,przekaski,sredni,0,1,16,15,30,-1,14,1,14
431,1058,2079,18,slodycze,maly,0,0,17,20,25,3,8,3,8
355,1083,2015,48,napoje,sredni,0,0,58,50,40,-8,-18,8,18
385,1082,2052,27,slodycze,sredni,0,0,21,15,35,-6,14,6,14
809,1053,2009,27,slodycze,maly,0,0,16,20,15,4,-1,4,1
647,1042,2043,43,chemia,maly,0,0,11,15,10,4,-1,4,1
570,1135,2085,16,slodycze,sredni,0,0,35,30,45,-5,10,5,10
92,1056,2018,18,chemia,maly,0,0,16,10,15,-6,-1,6,1
596,1053,2073,46,napoje,sredni,0,0,18,40,35,22,17,22,17
755,1106,2012,52,slodycze,maly,0,0,32,15,15,-17,-17,17,17
892,1062,2061,49,slodycze,maly,0,0,13,20,15,7,2,7,2
350,1083,2087,12,napoje,maly,0,1,17,10,45,-7,28,7,28
244,1027,2013,20,napoje,sredni,1,0,63,75,90,12,27,12,27
57,1069,2031,15,nabial,dyskont,0,0,57,100,100,43,43,43,43
681,1063,2028,21,slodycze,maly,0,0,68,30,15,-38,-53,38,53
53,1018,2035,30,napoje,duzy,0,0,56,55,95,-1,39,1,39
152,1032,2078,8,przekaski,dyskont,0,0,55,100,65,45,10,45,10
622,1110,2016,24,napoje,sredni,1,0,76,65,55,-11,-21,11,21
466,1096,2026,1,slodycze,maly,0,0,18,15,15,-3,-3,3,3
318,1045,2052,1,nabial,duzy,0,1,60,45,50,-15,-10,15,10
326,1056,2012,21,napoje,dyskont,0,0,63,115,95,52,32,52,32
427,1061,2061,48,nabial,sredni,0,0,12,45,25,33,13,33,13
751,1066,2047,49,slodycze,maly,0,0,12,15,10,3,-2,3,2
